file,slots,service_bytes_avg_per_slot,arrival_bytes_est_avg_per_slot,backlog_bytes_avg_per_slot,backlog_bytes_median_per_slot,backlog_bytes_pos_delta_total,backlog_bytes_net_delta_total
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_1_H4_P0(NP).csv,16,62155.75,85759.7020754161,75899.875,68769.0,287070.0,-38040.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_2_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_3_H4_P0(NP).csv,12,68886.5,130320.3004796988,73372.0,80485.0,196540.0,-53310.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_4_H4_P0(NP).csv,8,71786.0,94690.525,57144.75,59594.0,106594.0,-66818.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_5_H4_P0(NP).csv,9,71367.77777777778,97877.47401240279,58096.444444444445,65068.0,150090.0,-67130.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_6_H4_P0(NP).csv,8,87342.0,103557.36904761905,48587.25,38034.0,69980.0,-82680.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_7_H4_P0(NP).csv,9,50427.77777777778,63605.237436573574,50541.333333333336,71624.0,110324.0,-58266.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_8_H4_P0(NP).csv,6,87897.66666666667,106121.75169466548,60240.666666666664,69154.0,90454.0,-53130.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_9_H4_P0(NP).csv,7,78617.57142857143,93825.9548430418,56683.71428571428,61590.0,81756.0,-82286.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_10_H4_P0(NP).csv,0,,,,,,
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_11_H4_P0(NP).csv,5,80320.4,111908.14432989692,62144.8,72634.0,147702.0,-17754.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_12_H4_P0(NP).csv,9,77850.22222222222,111610.42577030812,61521.11111111111,54898.0,208708.0,0.0
mac_aqm_tid0_ac2_wlx94a67e6e4790@70:5d:cc:38:d7:42_15_13_H4_P0(NP).csv,8,60960.25,86755.55162866821,71193.25,95693.0,188520.0,-92267.0
